Hours_Sleeping,Hours_Studying,Attendance_Percentage,Previous_Score,Extracurricular_Activities,Internet_Usage_Hours,Sleep_Quality,Daily_Screen_Time_Hours,Assignment_Completion_Rate,Class_Participation,Parental_Involvement,Stress_Levels,Diet_Quality,Daily_Exercise_Minutes,Part_Time_Job_Hours,Final_Score
5.621780831931537,5.887131998138216,59.25664644193098,75.9540892568109,1,0.469286424116781,4.493491355142959,5.792536597743836,94.77814240659194,4.40055292354468,4.071200047819485,4.474458420866522,3.1925331278397486,55.65717896092515,5.748050676909651,50.0
9.655000144869414,4.752674564408842,77.0950473689179,73.95909388148655,0,4.548134097182962,7.067172659824567,2.0385517796102564,95.45876320267928,1.5583308726590337,4.997650661905299,9.700355260166145,8.187002543175392,20.87728794261643,11.157583671557711,50.0
8.123957592679837,3.166693314004294,93.64729179382041,51.282103290321785,0,3.346001314690392,3.3391448131854955,6.450741003910703,65.69390382575136,4.0537474057861065,7.080280962106949,7.274496288613154,1.963262207899343,40.497245485556626,6.086151836417287,50.0
7.190609389379256,6.696565137948641,86.61124432047805,67.06239138130782,0,4.146433996583777,4.106729876447894,2.054835151122101,84.5527906369631,5.553384888876026,5.580046630628922,1.7490075958726505,8.026293737544659,2.169731064682252,1.7291501424030464,50.0
4.092130483097056,5.793118207877155,90.32805739307248,69.00978093929285,1,4.394894501411336,9.257372588187913,4.034859180091768,63.58165906371848,2.4573070596899234,8.753011174191919,8.766636609817166,9.191765117302268,48.039584209290986,0.028566861583534386,50.0
4.091961642353418,2.138318575414239,82.93916833553587,69.94113904484502,1,2.858861760241611,3.6145405510427837,2.2855776833289867,59.53049165372249,6.922919962508429,8.794321075411808,5.3250394675264126,4.4455005529159175,65.98523053874526,8.991667058405246,50.0
3.406585285177396,7.376490291456897,84.61382822589263,79.00861846136661,1,2.5872317587752063,5.229894413421429,7.22866282321932,59.23162286736846,9.979744501091805,1.0891962594203828,1.618785157802387,6.675717654847724,74.34991113925042,16.737268444531846,50.0
9.063233020424546,6.757760700462183,92.45978257826596,76.68012733634393,1,2.152137051604951,9.011270236564132,2.8562690245253735,67.1053810431797,5.065655283832994,8.002416758348794,5.9474552964697995,4.871284588871436,79.6188414154452,11.44630371260153,50.0
7.207805082202461,7.648599393043468,62.483400442959294,80.39525463967223,1,1.5847329389555964,7.369492152407747,4.526734358692234,71.49788098899108,4.192557010571914,5.1466024021750645,4.754478510781318,4.939885494893156,100.35495757229519,19.984145978868817,50.0
7.956508044572319,6.08003655871852,74.47124818215703,88.2441630771064,1,2.1729798042935586,1.5598290354823248,9.061072998569008,91.54745855275343,4.6063375015101995,9.899564871732968,8.899744643763624,3.7933380019730807,25.855548873087603,5.736932912943999,50.0
3.144091460070617,5.293906371550529,61.06047209098011,90.64928693580467,1,3.869398278650782,2.325727398510733,2.8388474505907326,55.994554673635605,2.03631560555681,5.349088682878916,2.835951432484486,7.859166584052922,14.457818692616154,5.609101295201107,50.0
9.78936896513396,3.927701254034332,99.38340039983234,85.90615381132471,0,3.0096171550756576,1.0705743169472512,5.570245575629012,86.74629236974471,8.949462412836013,9.882063508494678,8.438181485429645,9.425589077498547,102.18446062775108,3.194989204678884,50.0
8.827098485602953,7.529099383478092,97.20296698433066,97.77618479774674,1,4.462616449774231,6.678296112062471,4.7734449504941985,76.57274570946527,4.733430899692168,7.791124250851629,6.019198220669074,9.46675773311015,18.793537787117987,3.2812717653067036,50.0
4.486373774747933,7.062447226502859,51.9713405684253,50.91162913381808,0,2.216900071895939,5.029060828693765,1.1631163694115676,64.39726713379963,4.485469702823572,3.237443961519757,1.4914927289212214,2.5730315638744043,116.97120976034344,5.703731920200957,50.0
4.272774770449704,1.3165306907433258,85.27875862578442,59.788899284177305,0,3.03544789359377,2.2084736581204796,8.134823022155315,74.64097922664124,6.937212456374269,5.845554813582619,9.74660771192936,8.872692846909095,101.10458752783644,15.856800905470543,50.0
4.283831568974037,1.184568821480764,96.26241587078329,50.37814374890711,1,3.1565377654599436,9.621407089510933,1.6214131568313976,64.99710348885114,4.978300788380112,9.929220755307245,5.6135371969287995,7.6368829728440994,60.1051927067519,18.11513581272896,50.0
5.1296957007167645,3.6352435681463473,59.02876725636668,82.37373570773015,1,2.9584858115316277,5.766937515510579,5.268295188792583,79.8040977619153,6.8341012192706145,8.717775469767314,3.617891688084242,3.2755366062126035,117.77057099064302,19.501743394153625,50.0
